Country,Alcconsumption,Employrate,Incomeperperson,Suicideper100Th,Urbanrate
Afghanistan,0.03,55.70000076,,6.6843853,24.04
Albania,7.29,51.40000153,1914.996551,7.699329853,46.72
Algeria,0.69,50.5,2231.993335,4.848769665,65.22
Andorra,10.17,,21943.3399,5.362178802,88.92
Angola,5.57,75.69999695,1381.004268,14.55467701,56.7
Antigua and Barbuda,8.17,,11894.46407,2.1618433,30.46
Argentina,9.35,58.40000153,10749.41924,7.765584,92
Armenia,13.66,40.09999847,1326.741757,3.741587877,63.86
Aruba,,,,,46.78
Australia,10.21,61.5,25249.98606,8.470030125,88.74
Austria,12.4,57.09999847,26692.98411,13.09437,67.16
Azerbaijan,13.34,60.90000153,2344.896916,1.380964637,51.92
Bahamas,8.65,66.59999847,19630.54055,3.374415874,83.7
Bahrain,4.19,60.40000153,12505.21254,4.414990425,88.52
Bangladesh,0.17,68.09999847,558.0628766,14.53835678,27.14
Barbados,6.42,66.90000153,9243.587053,3.108602524,39.84
Belarus,18.85,53.40000153,2737.670379,26.8746903,73.46
Belgium,10.41,48.59999847,24496.04826,15.95385,97.36
Belize,5.92,56.79999924,3545.652174,9.388795853,51.7
Benin,2.08,71.59999847,377.0396995,6.057739735,41.2
Bermuda,,,62682.14701,,100
Bhutan,0.54,58.40000153,1324.194906,15.54260254,34.48
Bolivia,5.78,70.40000153,1232.794137,2.034178495,65.58
Bosnia and Herzegovina,9.6,41.20000076,2183.344867,11.8367157,47.44
Botswana,6.97,46,4189.436587,11.21397018,59.58
Brazil,10.08,64.5,4699.411262,4.777007,85.58
Brunei,1.86,63.79999924,17092.46,1.370001554,74.82
Bulgaria,11.4,47.29999924,2549.558474,9.216544,71.1
Burkina Faso,7.32,81.30000305,276.200413,8.204221725,19.56
Burundi,9.65,83.19999695,115.3059959,14.68093586,10.4
Cambodia,4.71,78.90000153,557.9475126,4.961071491,21.56
Cameroon,7.9,59.09999847,713.6393027,7.214220524,56.76
Canada,10.2,63.5,25575.35262,10.10099,80.4
Cape Verde,4.98,55.90000153,1959.844472,5.633333683,59.62
Cayman Islands,,,,,100
Central African Rep.,3.17,71.30000305,239.5187494,13.54841995,38.58
Chad,4.39,68.90000153,275.8842865,8.283070564,26.68
Chile,8.81,51,6334.105194,10.17187,88.44
China,5.56,72.80000305,2425.471293,16.91324806,43.1
Colombia,6.59,63.20000076,3233.42378,4.907702,74.5
Comoros,0.28,68,336.3687495,4.751083851,28.08
"Congo, Dem. Rep.",3.39,66.19999695,103.7758572,14.71302032,33.96
"Congo, Rep.",4.46,64.19999695,1253.292015,9.873761177,61.34
Cook Islands,3.23,,,4.373364925,
Costa Rica,5.81,58.59999847,5188.900935,6.597168,63.26
Cote d'Ivoire,6.47,59.90000153,591.0679443,20.31793022,48.78
Croatia,15,47.09999847,6338.494668,14.77625,57.28
Cuba,5.12,56,4495.046262,10.57191,75.66
Cyprus,8.84,59.09999847,15313.85935,2.206169,69.9
Czech Rep.,16.47,56,7381.312751,12.36798,73.5
Denmark,12.02,63.09999847,30532.27704,8.973104,86.68
Djibouti,1.87,,895.3183396,4.993475914,87.3
Dominica,8.68,,6147.77961,5.835250854,73.92
Dominican Rep.,6.28,52.70000076,4049.169629,6.519536972,69.02
Ecuador,9.43,59.70000076,1728.020976,8.504684448,65.58
Egypt,0.32,42.40000153,1975.551906,1.799903631,42.72
El Salvador,3.99,58.20000076,2557.433638,7.304886,60.7
Equatorial Guinea,6.12,61.70000076,8654.536845,10.12934971,39.38
Eritrea,1.64,64.90000153,131.796207,8.913362503,20.72
Estonia,17.24,56.5,6238.537506,16.95924,69.46
Ethiopia,4.1,80.69999695,220.8912479,10.07194233,17
Faeroe Islands,,,,,41.42
Fiji,2.76,56.40000153,2230.676374,3.94025898,52.36
Finland,13.1,57.20000076,27110.73159,16.23437,63.3
France,12.48,51.20000076,22878.46657,14.09153,77.36
French Polynesia,,,,,51.64
Gabon,9.46,59,4180.765821,7.745064735,85.04
Gambia,3.58,71.69999695,354.5997263,6.449156761,56.42
Georgia,6.66,55.59999847,1258.762596,1.574350119,52.74
Germany,12.14,53.5,25306.18719,9.211085,73.64
Ghana,3.11,65.09999847,358.9795398,6.288554668,50.02
Gibraltar,,,,,
Greece,11.01,49.59999847,13577.87989,2.816705,61
Greenland,,,20751.89342,,83.52
Grenada,10.71,,5330.401612,3.576478243,30.84
Guadeloupe,,43.09999847,,,
Guam,,,,,93.16
Guatemala,7.1,62.70000076,1860.753895,2.234896,48.58
Guinea,0.79,81.5,411.5014473,7.443826199,34.44
Guinea-Bissau,3.9,65.90000153,161.3171371,7.563692093,29.84
Guyana,8.7,58.90000153,1200.652075,35.75287247,28.38
Haiti,5.92,55.90000153,371.4241975,1.519248009,46.84
Honduras,4.43,56.29999924,1392.411829,7.060184479,47.88
"Hong Kong, China",,59,35536.07247,,100
Hungary,16.12,47.29999924,5634.003948,20.16201,67.5
Iceland,7.38,73.59999847,33945.31442,11.42618084,92.26
India,2.69,55.40000153,786.7000981,18.58382607,29.54
Indonesia,0.56,61.5,1143.831514,11.39611149,51.46
Iran,1.03,47.79999924,2161.54651,6.021882057,68.46
Iraq,0.47,37.40000153,736.2680538,17.03264618,66.6
Ireland,14.92,59.90000153,27595.09135,10.36507,61.34
Israel,2.52,51.29999924,22275.75166,5.931845,91.66
Italy,9.72,46.40000153,18982.26929,4.930044509,68.08
Jamaica,5.17,58.20000076,3665.348369,4.417507172,53.3
Japan,7.79,57.29999924,39309.47886,18.94693,66.48
Jordan,0.65,38.90000153,2534.00038,0.201448724,78.42
Kazakhstan,11.1,63.70000076,2481.718918,25.4046,57.94
Kenya,3.88,73.19999695,468.6960436,10.93771839,21.6
Kiribati,2.7,,760.262365,,43.84
"Korea, Dem. Rep.",,64.59999847,,4.735673428,62.68
"Korea, Rep.",19.15,58.90000153,16372.49978,22.40456,81.46
Kuwait,0.1,65.69999695,,1.498057424,98.36
Kyrgyzstan,4.72,58.90000153,372.728414,9.875281,36.28
Laos,6.99,78.19999695,554.8798401,26.21919823,30.88
Latvia,13.45,56.79999924,5011.219456,20.36959,68.12
Lebanon,2.3,46,6746.612632,5.83831501,86.96
Lesotho,5.56,56.29999924,495.7342469,7.858619213,25.46
Liberia,5.07,66,155.0332312,7.1848526,60.14
Libya,0.1,48.59999847,7885.468037,4.667024612,77.54
Liechtenstein,,,81647.10003,,14.32
Lithuania,16.3,53.09999847,5332.238591,33.34186,66.96
Luxembourg,12.84,53.5,52301.58718,12.40591812,82.44
"Macao, China",,63.59999847,33923.31387,,100
"Macedonia, FYR",8.94,34.90000153,2221.185664,7.876878262,66.9
Madagascar,1.32,83,242.6775342,5.767406464,29.52
Malawi,1.44,71.80000305,184.1417966,10.17173481,18.8
Malaysia,0.87,60.5,5184.709328,8.2110672,70.36
Maldives,,56.90000153,4038.857818,22.35347939,37.86
Mali,0.99,45.70000076,269.8928811,8.262892723,32.18
Malta,4.1,46.79999924,11066.78414,4.551121235,94.26
Marshall Islands,,,2437.282445,7.202383518,71.08
Martinique,,42.5,,,
Mauritania,0.11,46.90000153,609.1312059,6.882952213,41
Mauritius,3.53,54.5,5182.143721,8.08154,42.48
Mexico,8.55,57.90000153,6105.280743,4.288574,77.2
"Micronesia, Fed. Sts.",5.25,,2146.358593,4.762269974,22.54
Moldova,23.01,44.29999924,595.8745345,15.53849,41.76
Monaco,,,105147.4377,11.1510725,100
Mongolia,3.41,52.09999847,772.9333448,13.08961582,57.18
Montenegro,,,2222.335052,,60.18
Morocco,1.24,46.20000076,1844.351028,2.109413624,56.02
Mozambique,2.27,77,389.7636343,10.55037498,36.84
Myanmar,0.58,74.69999695,,10.11499691,32.58
Namibia,12.09,42,2667.24671,8.021969795,36.84
Nauru,4.81,,,4.079525471,
Nepal,2.42,61.79999924,268.2594495,11.65520954,17.24
Netherlands,9.75,61.29999924,26551.84424,8.164005,81.82
Netherlands Antilles,,53.5,,,92.68
New Caledonia,,,,,64.78
New Zealand,9.99,65,14778.16393,12.17976,86.56
Nicaragua,5.21,58.79999924,948.355952,12.12226868,56.74
Niger,0.34,60.40000153,180.083376,9.257975578,16.54
Nigeria,12.72,50.90000153,544.5994767,7.631049633,48.36
Niue,8.69,,,4.217076302,
Norway,8.35,65,39972.35277,10.823,77.48
Oman,0.92,50.70000076,11191.81101,3.716739416,71.62
Pakistan,0.05,51,668.547943,12.86981487,36.16
Palau,9.86,,6243.571318,5.554276466,80.46
Panama,7.3,59.79999924,5900.616944,6.1052819,73.2
Papua New Guinea,3.64,70.40000153,744.2394132,11.95694065,12.54
Paraguay,7.91,73.09999847,1621.177078,4.409532,60.3
Peru,6.53,68.30000305,3180.430612,1.658907771,71.4
Philippines,6.08,61,1383.401869,1.922485113,64.92
Poland,14.43,48.70000076,6575.745044,13.63706,61.32
Portugal,13.89,57.59999847,11744.83417,8.188375473,59.46
Puerto Rico,,42.40000153,15822.11214,,98.32
Qatar,1.29,76,33931.83208,2.515720844,95.64
Reunion,,44.20000076,,,
Romania,16.15,49.5,2636.7878,10.05932,54.24
Russia,16.23,58.79999924,2923.144355,27.87416,72.84
Rwanda,9.99,79.80000305,338.2663912,13.11794853,18.34
Saint Kitts and Nevis,10.62,,9175.796015,,32.32
Saint Lucia,12.05,,5248.582321,8.21094799,27.84
Saint Vincent and the Grenadines,4.99,,4885.046701,9.593027115,47.04
Samoa,4.51,,1784.071284,5.542323589,23
San Marino,,,31993.20069,6.087670803,94.22
Sao Tome and Principe,8.45,,,10.49314976,60.56
Saudi Arabia,0.34,51.20000076,9425.32587,6.401537895,82.42
Senegal,0.51,65.59999847,561.7085848,6.81143856,42.38
Serbia,12.21,,1194.711433,13.71634,52.04
Serbia and Montenegro,,48.70000076,,14.46964836,
Seychelles,12.11,,8614.120219,9.507927895,54.34
Sierra Leone,9.48,63.79999924,268.3317903,11.98049736,37.76
Singapore,1.54,62.40000153,32535.83251,9.127511,100
Slovak Republic,13.31,53.40000153,8445.526689,10.64574,56.56
Slovenia,14.94,55.90000153,12729.4544,19.42261,48.6
Solomon Islands,1.37,65,1144.102193,4.484752655,17.96
Somalia,0.5,66,,29.86416435,36.52
South Africa,10.16,41.09999847,3745.649852,15.714571,60.74
Spain,11.83,52.5,15461.75837,5.888479,77.12
Sri Lanka,0.81,55.09999847,1295.742686,28.10404587,15.1
Sudan,2.56,47.29999924,523.9501515,9.709555626,43.44
Suriname,6.56,44.70000076,2668.020519,20.7474308,74.92
Swaziland,5.05,50.90000153,1810.230533,12.87222195,24.94
Sweden,9.5,60.70000076,32292.48298,11.11583,84.54
Switzerland,11.41,64.30000305,37662.75125,13.23981,73.48
Syria,1.49,44.79999924,1525.780116,0.523527563,54.22
Taiwan,,54.5,,,
Tajikistan,3.39,54.59999847,279.1804526,2.648980856,26.46
Tanzania,7.86,78.19999695,456.3857117,12.41118145,25.52
Thailand,7.08,72,2712.517199,9.847459793,33.32
Timor-Leste,0.74,67.30000305,369.5729537,9.633114815,27.3
Togo,1.92,63.90000153,285.2244493,6.369887829,42
Tonga,3.92,,2025.282665,4.527851582,24.78
Trinidad and Tobago,6.16,61.5,10480.8172,14.54716682,13.22
Tunisia,1.05,41.59999847,3164.927693,3.146814108,66.5
Turkey,3.02,42.79999924,5348.597192,3.56332469,68.68
Turkmenistan,5,58.5,2062.125152,12.21676922,48.62
Tuvalu,2.14,,1714.94289,7.934811592,
Uganda,16.4,83.19999695,377.4211133,12.28912163,12.98
Ukraine,17.47,54.40000153,1036.830725,18.95457,67.98
United Arab Emirates,0.52,75.19999695,21087.39412,1.392950654,77.88
United Kingdom,13.24,59.29999924,28033.48928,6.014659,89.94
United States,9.7,62.29999924,37491.17952,9.927033,81.7
Uruguay,8.99,57.5,9106.327234,14.53727,92.3
Uzbekistan,3.61,57.5,952.8272608,5.21372,36.82
Vanuatu,0.96,,1543.956457,4.983421803,24.76
Venezuela,7.6,59.90000153,5528.363114,4.11962,93.32
Vietnam,3.91,71,722.8075588,11.65332222,27.84
West Bank and Gaza,,32,,,71.9
"Yemen, Rep.",0.2,39,610.3573673,6.265789032,30.64
Zambia,3.56,61,432.226337,12.01903629,35.42
Zimbabwe,4.96,66.80000305,320.7718899,13.90526676,37.34
